Ex:-0.00420897	Ey:0.00139464	E:0.00443401
Ex:-0.00369839	Ey:0.00122399	E:0.00389567
Ex:-0.00327522	Ey:0.00108255	E:0.00344949
Ex:-0.00292057	Ey:0.000964016	E:0.00307556
Ex:-0.00262041	Ey:0.000863691	E:0.00275908
Ex:-0.00236412	Ey:0.000778027	E:0.00248885
Ex:-0.00214354	Ey:0.000704301	E:0.00225628
Ex:-0.00195234	Ey:0.000640391	E:0.00205468
Ex:-0.00178551	Ey:0.000584628	E:0.00187878
Ex:-0.00163907	Ey:0.000535683	E:0.00172439
Ex:-0.00150984	Ey:0.000492488	E:0.00158813
Ex:-0.00139521	Ey:0.000454175	E:0.00146727
Ex:-0.00129307	Ey:0.000420035	E:0.00135958
Ex:-0.00120166	Ey:0.000389482	E:0.0012632
Ex:-0.00111952	Ey:0.00036203	E:0.0011766
Ex:-0.00104544	Ey:0.000337272	E:0.0010985
Ex:-0.000978406	Ey:0.000314868	E:0.00102782
Ex:-0.00091754	Ey:0.000294527	E:0.000963652
Ex:-0.000862109	Ey:0.000276003	E:0.000905212
Ex:-0.000811482	Ey:0.000259085	E:0.000851838
Ex:-0.000765119	Ey:0.000243593	E:0.00080296
Ex:-0.000722552	Ey:0.00022937	E:0.000758085
Ex:-0.000683377	Ey:0.000216281	E:0.000716785
Ex:-0.000647241	Ey:0.000204208	E:0.000678691
Ex:-0.000613836	Ey:0.000193048	E:0.000643476
Ex:-0.000582892	Ey:0.000182712	E:0.000610858
Ex:-0.000554173	Ey:0.000173119	E:0.000580584
Ex:-0.000527469	Ey:0.000164201	E:0.000552436
Ex:-0.000502594	Ey:0.000155894	E:0.000526216
Ex:-0.000479384	Ey:0.000148143	E:0.000501752
Ex:-0.000457693	Ey:0.000140901	E:0.00047889
Ex:-0.00043739	Ey:0.000134123	E:0.000457492
Ex:-0.000418357	Ey:0.00012777	E:0.000437433
Ex:-0.000400491	Ey:0.000121807	E:0.000418605
Ex:-0.000383696	Ey:0.000116202	E:0.000400906
Ex:-0.000367889	Ey:0.000110927	E:0.000384248
Ex:-0.000352991	Ey:0.000105957	E:0.000368551
Ex:-0.000338934	Ey:0.000101268	E:0.000353739
Ex:-0.000325655	Ey:9.68386e-05	E:0.000339748
Ex:-0.000313096	Ey:9.26504e-05	E:0.000326517
Ex:-0.000301206	Ey:8.86858e-05	E:0.000313991
Ex:-0.000289938	Ey:8.49289e-05	E:0.00030212
Ex:-0.000279247	Ey:8.13651e-05	E:0.000290859
Ex:-0.000269094	Ey:7.79814e-05	E:0.000280166
Ex:-0.000259444	Ey:7.47654e-05	E:0.000270002
Ex:-0.000250262	Ey:7.1706e-05	E:0.000260332
Ex:-0.000241518	Ey:6.87931e-05	E:0.000251125
Ex:-0.000233185	Ey:6.60171e-05	E:0.00024235
Ex:-0.000225236	Ey:6.33695e-05	E:0.00023398
Ex:-0.000217647	Ey:6.08421e-05	E:0.000225991
Ex:-0.000210396	Ey:5.84277e-05	E:0.000218358
Ex:-0.000203463	Ey:5.61193e-05	E:0.000211061
Ex:-0.000196829	Ey:5.39105e-05	E:0.000204079
Ex:-0.000190477	Ey:5.17956e-05	E:0.000197393
Ex:-0.000184389	Ey:4.9769e-05	E:0.000190988
Ex:-0.000178552	Ey:4.78256e-05	E:0.000184846
Ex:-0.00017295	Ey:4.59608e-05	E:0.000178953
Ex:-0.000167571	Ey:4.41701e-05	E:0.000173295
Ex:-0.000162403	Ey:4.24494e-05	E:0.000167859
Ex:-0.000157434	Ey:4.07949e-05	E:0.000162634
Ex:-0.000152654	Ey:3.92029e-05	E:0.000157608
Ex:-0.000148053	Ey:3.76702e-05	E:0.00015277
Ex:-0.000143621	Ey:3.61935e-05	E:0.000148111
Ex:-0.000139349	Ey:3.477e-05	E:0.000143622
Ex:-0.000135231	Ey:3.33968e-05	E:0.000139293
Ex:-0.000131257	Ey:3.20714e-05	E:0.000135118
Ex:-0.00012742	Ey:3.07914e-05	E:0.000131088
Ex:-0.000123715	Ey:2.95543e-05	E:0.000127196
Ex:-0.000120135	Ey:2.83581e-05	E:0.000123436
Ex:-0.000116673	Ey:2.72007e-05	E:0.000119801
Ex:-0.000113324	Ey:2.60801e-05	E:0.000116286
Ex:-0.000110083	Ey:2.49947e-05	E:0.000112884
Ex:-0.000106944	Ey:2.39425e-05	E:0.000109591
Ex:-0.000103904	Ey:2.2922e-05	E:0.000106402
Ex:-0.000100957	Ey:2.19317e-05	E:0.000103312
Ex:-9.80997e-05	Ey:2.097e-05	E:0.000100316
Ex:-9.53278e-05	Ey:2.00357e-05	E:9.74106e-05
Ex:-9.26376e-05	Ey:1.91272e-05	E:9.45917e-05
Ex:-9.00256e-05	Ey:1.82435e-05	E:9.18555e-05
Ex:-8.74883e-05	Ey:1.73832e-05	E:8.91985e-05
Ex:-8.50226e-05	Ey:1.65453e-05	E:8.66175e-05
Ex:-8.26255e-05	Ey:1.57286e-05	E:8.41092e-05
Ex:-8.02941e-05	Ey:1.49321e-05	E:8.16708e-05
Ex:-7.80258e-05	Ey:1.41548e-05	E:7.92993e-05
Ex:-7.58178e-05	Ey:1.33957e-05	E:7.69922e-05
Ex:-7.36679e-05	Ey:1.26539e-05	E:7.47468e-05
Ex:-7.15737e-05	Ey:1.19285e-05	E:7.25609e-05
Ex:-6.9533e-05	Ey:1.12186e-05	E:7.04322e-05
Ex:-6.75437e-05	Ey:1.05234e-05	E:6.83586e-05
Ex:-6.56039e-05	Ey:9.84214e-06	E:6.63381e-05
Ex:-6.37116e-05	Ey:9.17398e-06	E:6.43687e-05
Ex:-6.18652e-05	Ey:8.51818e-06	E:6.24489e-05
Ex:-6.00628e-05	Ey:7.87401e-06	E:6.05768e-05
Ex:-5.8303e-05	Ey:7.24075e-06	E:5.87509e-05
Ex:-5.65842e-05	Ey:6.6177e-06	E:5.69699e-05
Ex:-5.4905e-05	Ey:6.00416e-06	E:5.52323e-05
Ex:-5.32641e-05	Ey:5.39947e-06	E:5.35371e-05
Ex:-5.16601e-05	Ey:4.80296e-06	E:5.18829e-05
Ex:-5.0092e-05	Ey:4.21397e-06	E:5.02689e-05
Ex:-4.85586e-05	Ey:3.63185e-06	E:4.86942e-05
Ex:-4.70588e-05	Ey:3.05596e-06	E:4.71579e-05
Ex:-4.55917e-05	Ey:2.48564e-06	E:4.56594e-05
Ex:-4.41565e-05	Ey:1.92027e-06	E:4.41982e-05
Ex:-4.27523e-05	Ey:1.35921e-06	E:4.27739e-05
Ex:-4.13785e-05	Ey:8.01806e-07	E:4.13862e-05
Ex:-4.00343e-05	Ey:2.47429e-07	E:4.0035e-05
Ex:-3.87192e-05	Ey:-3.04569e-07	E:3.87204e-05
Ex:-3.74328e-05	Ey:-8.54831e-07	E:3.74426e-05
Ex:-3.61747e-05	Ey:-1.404e-06	E:3.62019e-05
Ex:-3.49446e-05	Ey:-1.95274e-06	E:3.49991e-05
Ex:-3.37423e-05	Ey:-2.50168e-06	E:3.38349e-05
Ex:-3.25678e-05	Ey:-3.05148e-06	E:3.27105e-05
Ex:-3.14212e-05	Ey:-3.60276e-06	E:3.16271e-05
Ex:-3.03026e-05	Ey:-4.15616e-06	E:3.05863e-05
Ex:-2.92123e-05	Ey:-4.71228e-06	E:2.959e-05
Ex:-2.81508e-05	Ey:-5.2717e-06	E:2.86402e-05
Ex:-2.71187e-05	Ey:-5.83494e-06	E:2.77393e-05
Ex:-2.61166e-05	Ey:-6.4025e-06	E:2.68899e-05
Ex:-2.51453e-05	Ey:-6.97478e-06	E:2.60948e-05
Ex:-2.4206e-05	Ey:-7.55212e-06	E:2.53567e-05
Ex:-2.32994e-05	Ey:-8.13474e-06	E:2.46787e-05
Ex:-2.24269e-05	Ey:-8.72274e-06	E:2.40635e-05
Ex:-2.15895e-05	Ey:-9.31607e-06	E:2.35137e-05
Ex:-2.07882e-05	Ey:-9.91457e-06	E:2.30315e-05
Ex:-2.00242e-05	Ey:-1.05179e-05	E:2.26184e-05
Ex:-1.92982e-05	Ey:-1.11255e-05	E:2.22755e-05
Ex:-1.86109e-05	Ey:-1.17368e-05	E:2.20027e-05
Ex:-1.79627e-05	Ey:-1.2351e-05	E:2.17992e-05
Ex:-1.73537e-05	Ey:-1.29672e-05	E:2.16633e-05
Ex:-1.67835e-05	Ey:-1.35845e-05	E:2.15923e-05
Ex:-1.62516e-05	Ey:-1.4202e-05	E:2.15827e-05
Ex:-1.5757e-05	Ey:-1.48187e-05	E:2.16305e-05
Ex:-1.52984e-05	Ey:-1.54338e-05	E:2.17311e-05
Ex:-1.48743e-05	Ey:-1.60463e-05	E:2.18798e-05
Ex:-1.44829e-05	Ey:-1.66555e-05	E:2.20717e-05
Ex:-1.41225e-05	Ey:-1.72607e-05	E:2.23019e-05
Ex:-1.3791e-05	Ey:-1.78614e-05	E:2.2566e-05
Ex:-1.34865e-05	Ey:-1.84572e-05	E:2.28594e-05
